row_id,comment_id,video_id,comment,comment_clean,published_at,updated_at,comment_like_count,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,sentiment
11,UgxXVVi0gRmCU71wfkd4AaABAg,WjNRWr4lJqk,"Makanan yang seharusnya bergizi tetapi menjadi mencelakai,","makanan yang seharusnya bergizi tetapi menjadi mencelakai,",2026-09-15T08:26:41Z,2026-09-15T08:26:41Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
12,Ugyd_UYHJ1_Yw4V1flR4AaABAg,WjNRWr4lJqk,Ini kenapa saya tidak pernah makan mbg.,ini kenapa saya tidak pernah makan mbg.,2026-09-15T05:11:06Z,2026-09-15T05:11:06Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
13,Ugx9FR0oLbZ7Qw1XGZV4AaABAg,WjNRWr4lJqk,"Sukses pak prabowo dengan program beracun nya, bangga saya","sukses pak prabowo dengan program beracun nya, bangga saya",2026-09-14T03:08:48Z,2026-09-14T03:08:48Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
14,Ugzt-1HOi2DJ3ol0Wc94AaABAg,WjNRWr4lJqk,"𝚃𝚄𝙽𝚃𝚄𝚃 & 𝙶𝚄𝙶𝙰𝚃 𝙿𝚁𝙰𝙱𝙾𝚆𝙾 𝙰𝚃𝙰𝚂 𝙺𝙴𝚁𝙰𝙲𝚄𝙽𝙰𝙽 𝙼𝙰𝚂𝚂𝙰𝙻 𝙰𝙺𝙸𝙱𝙰𝚃 𝙼𝙱𝙶  !!! 
𝙿𝙴𝙲𝙰𝚃 𝙿𝚁𝙰𝙱𝙾𝚆𝙾  !!!",𝚃𝚄𝙽𝚃𝚄𝚃 & 𝙶𝚄𝙶𝙰𝚃 𝙿𝚁𝙰𝙱𝙾𝚆𝙾 𝙰𝚃𝙰𝚂 𝙺𝙴𝚁𝙰𝙲𝚄𝙽𝙰𝙽 𝙼𝙰𝚂𝚂𝙰𝙻 𝙰𝙺𝙸𝙱𝙰𝚃 𝙼𝙱𝙶 !! 𝙿𝙴𝙲𝙰𝚃 𝙿𝚁𝙰𝙱𝙾𝚆𝙾 !!,2026-09-13T14:38:37Z,2026-09-13T14:38:37Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
15,UgyZcdzx8-ObMK5ROxd4AaABAg,WjNRWr4lJqk,"MBG malah bikin repot orang ,bukan nya ngebantu i ini malah Mao Nge bunuh orang","mbg malah bikin repot orang ,bukan nya ngebantu i ini malah mao nge bunuh orang",2026-09-13T11:05:55Z,2026-09-13T11:05:55Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
16,Ugy_2vY4TgK30DDQAVp4AaABAg,WjNRWr4lJqk,"Sy sbagai org tua melarang keras kepada anak2 saya tuk mengkonsumsi MBG jika telah hadir disekolah anak2 sy, drpada masa depan dan mental anak2 saya hancur gara2 program ini, krn kita tidak bisa prediksi ada atau tidak adanya racun dalam MBG tsb serta efek2 apa aja yg akan timbul dr racun2 yg ada di MBG tsb. Sayangilah anak2 kalian wagai seluruh orang tua🙏🙏🙏","sy sbagai org tua melarang keras kepada anak2 saya tuk mengkonsumsi mbg jika telah hadir disekolah anak2 sy, drpada masa depan dan mental anak2 saya hancur gara2 program ini, krn kita tidak bisa prediksi ada atau tidak adanya racun dalam mbg tsb serta efek2 apa aja yg akan timbul dr racun2 yg ada di mbg tsb. sayangilah anak2 kalian wagai seluruh orang tua🙏🙏🙏",2026-09-13T08:49:35Z,2026-09-13T08:49:35Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
17,UgyP5HvJmPPuOKo6SJx4AaABAg,WjNRWr4lJqk,Mbg nya tolong stop☹️☹️,mbg nya tolong stop☹️☹️,2026-09-13T04:56:22Z,2026-09-13T04:56:22Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,positive
18,UgxYgSnxRtbRWsjPt2Z4AaABAg,WjNRWr4lJqk,"Astaghfirullah...
Suruh makan yg bikin!!!!!!!!",astaghfirullah.. suruh makan yg bikin!!,2026-09-13T03:03:41Z,2026-09-13T03:03:41Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
19,UgxncULImThDJBiXi114AaABAg,WjNRWr4lJqk,"Masak sih MBG kok kalah berkualitas dari masakan buatan pedagang makanan UKM (Usaha Kecil Menengah) yg merakyat ???🤨🤔😲🤭😩🤦🙈🙊😌 

Kenapa makanan MBG masakan buatan SPPG dg arahan BGN bisa beracun / berpatogen walau sudah matang ??? 🤨🤔 Ini aneh, gk masuk akal, gk rasional..... 

Jika makanan yg higienis sudah dimasak matang yg diolahnya bersih terjaga kebersihannya oleh SPPG, walau sudah dimasak cukup lama waktunya (bisa membunuh patogennya) ternyata kok masih juga beracun / berpatogen ??? 🤨🤔😲😩🤦🙈🙊 

Gk usah pakai cara satgas pengawas MBG segala lagi, memangnya satgas nya mau cicipi MBG beracun / berpatogen gk ??? 😩🤦🙊🙈 Karena racun atau patogen itu gk kelihatan mata lho.....🤨🤔 Jika ada orang yg racuni / cemari makanannya dg sembunyi-sembunyi tetap saja gk kelihatan satgasnya karena yg kasih racun / patogen nya juga punya akal bulus bisa pikirkan caranya. 😩🤦

Bisa saja caranya kasih racun saat pencucian bahan masakan, atau bahannya dipasok sudah diracuni lebih dulu saat di kirim atau saat di pasar, kan yg benar saja satgas nya harus periksakan setiap semua bahannya ???🤨🤔😩🤦

Jika pakai cara dicemari dg patogen beda lagi, yaitu dg penularan pada alat, wadah, air, bahkan sampai tangan pun bisa jadi penularannya. 🤨🤔😲 Mau periksa gimana satgasnya??? 🤨🤔 Kan kudu dibawa ke laboratorium dulu baru bisa ketahuan, dan perlu waktu berapa lama satgasnya beraksi ??? 🤨🤔😲😩🤦🙊🙈😌

Program MBG dihentikan saja dan diganti dg <program sekolah gratis> dg membayar para guru pengajarnya yg layak nilai upahnya, program ini bisa mencerdaskan bangsa, jika gizi untuk anak sekolah ini bisa dg BGN diusahakan bersama UKM rakyat pedagang makanan saja guna memajukan aktivitas ekonomi rakyat juga (bisa juga untuk kemajuan gizi masyarakat umum). 🙏🏼 Mudah-mudahan berjalan lancar dan bagus. Jika masalah memang masih bisa terjadi namun akan minim dan kecil. 💪🏼👍🏼 

Keracunan dari Makanan Beracun / Berpatogen Gempar (MBG) korbannya harus diobati juga dg obat detox herbal untuk keluarkan racun dari dalam tubuhnya, contoh obat detox herbal seperti: kumis kucing, akar bajakah, daun sirsak, benalu, mengkudu, dll. 

Banyak orang bangsa kita yg bawahan pejabat pun tidak amanah juga, makanya pemimpin teratas lah yg juga kena batunya.

Itu termul nya perjuangkan jilatannya untuk majikannya (geng solo) walaupun dongengan / fiksi namun sangat semangat dan bangga banget ya 😩🤦🙊🙈💩

Orang wapresnya saat ini kerjanya cuma MAGABU (makan Gaji Buta), atau jadi mandor pengangguran (mandor yg malas kerja kecuali kulinya saja yg kerja keras sedangkan mandor cuma santai nunggu hasil kulinya selesai kerja). 😩🤦🙈🙊💩 Kerjanya hanya pencitraan (pamer diri dg gaya dan hiasan dirinya supaya tampak dilihat publik dirinya itu wibawa, berprestasi, berintelektual, kompeten, dan kerja bagus.

Pejuang dan pembela ijazah palsu udah kayak aktor komedi saja perkaranya yg janggal menggelitik gk masuk akal 🤭😩🤦🙈🙊💩 mereka kelabakan oleh urusan usaha penyelundupan pembajakan ijazah golongannya sendiri 🤭😩🤦🙈🙊💩","masak sih mbg kok kalah berkualitas dari masakan buatan pedagang makanan ukm (usaha kecil menengah) yg merakyat ??🤨🤔😲🤭😩🤦🙈🙊😌 kenapa makanan mbg masakan buatan sppg dg arahan bgn bisa beracun / berpatogen walau sudah matang ?? 🤨🤔 ini aneh, gk masuk akal, gk rasional.. jika makanan yg higienis sudah dimasak matang yg diolahnya bersih terjaga kebersihannya oleh sppg, walau sudah dimasak cukup lama waktunya (bisa membunuh patogennya) ternyata kok masih juga beracun / berpatogen ?? 🤨🤔😲😩🤦🙈🙊 gk usah pakai cara satgas pengawas mbg segala lagi, memangnya satgas nya mau cicipi mbg beracun / berpatogen gk ?? 😩🤦🙊🙈 karena racun atau patogen itu gk kelihatan mata lho..🤨🤔 jika ada orang yg racuni / cemari makanannya dg sembunyi-sembunyi tetap saja gk kelihatan satgasnya karena yg kasih racun / patogen nya juga punya akal bulus bisa pikirkan caranya. 😩🤦 bisa saja caranya kasih racun saat pencucian bahan masakan, atau bahannya dipasok sudah diracuni lebih dulu saat di kirim atau saat di pasar, kan yg benar saja satgas nya harus periksakan setiap semua bahannya ??🤨🤔😩🤦 jika pakai cara dicemari dg patogen beda lagi, yaitu dg penularan pada alat, wadah, air, bahkan sampai tangan pun bisa jadi penularannya. 🤨🤔😲 mau periksa gimana satgasnya?? 🤨🤔 kan kudu dibawa ke laboratorium dulu baru bisa ketahuan, dan perlu waktu berapa lama satgasnya beraksi ?? 🤨🤔😲😩🤦🙊🙈😌 program mbg dihentikan saja dan diganti dg dg membayar para guru pengajarnya yg layak nilai upahnya, program ini bisa mencerdaskan bangsa, jika gizi untuk anak sekolah ini bisa dg bgn diusahakan bersama ukm rakyat pedagang makanan saja guna memajukan aktivitas ekonomi rakyat juga (bisa juga untuk kemajuan gizi masyarakat umum). 🙏🏼 mudah-mudahan berjalan lancar dan bagus. jika masalah memang masih bisa terjadi namun akan minim dan kecil. 💪🏼👍🏼 keracunan dari makanan beracun / berpatogen gempar (mbg) korbannya harus diobati juga dg obat detox herbal untuk keluarkan racun dari dalam tubuhnya, contoh obat detox herbal seperti: kumis kucing, akar bajakah, daun sirsak, benalu, mengkudu, dll. banyak orang bangsa kita yg bawahan pejabat pun tidak amanah juga, makanya pemimpin teratas lah yg juga kena batunya. itu termul nya perjuangkan jilatannya untuk majikannya (geng solo) walaupun dongengan / fiksi namun sangat semangat dan bangga banget ya 😩🤦🙊🙈💩 orang wapresnya saat ini kerjanya cuma magabu (makan gaji buta), atau jadi mandor pengangguran (mandor yg malas kerja kecuali kulinya saja yg kerja keras sedangkan mandor cuma santai nunggu hasil kulinya selesai kerja). 😩🤦🙈🙊💩 kerjanya hanya pencitraan (pamer diri dg gaya dan hiasan dirinya supaya tampak dilihat publik dirinya itu wibawa, berprestasi, berintelektual, kompeten, dan kerja bagus. pejuang dan pembela ijazah palsu udah kayak aktor komedi saja perkaranya yg janggal menggelitik gk masuk akal 🤭😩🤦🙈🙊💩 mereka kelabakan oleh urusan usaha penyelundupan pembajakan ijazah golongannya sendiri 🤭😩🤦🙈🙊💩",2026-09-12T13:59:20Z,2026-09-12T13:59:20Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
20,UgxlaK6mvRcAZNNWwUt4AaABAg,WjNRWr4lJqk,"Keracunan MBG yg sdh banyak mengambil korban siswa/siswi, maka seharusnya pemerintah sdh mengeta hui penyebabnya. Tapi sampai saat ini blm ada penjelasan resmi faktor2 penye bab keracunan pada MBG tsb.","keracunan mbg yg sdh banyak mengambil korban siswa/siswi, maka seharusnya pemerintah sdh mengeta hui penyebabnya. tapi sampai saat ini blm ada penjelasan resmi faktor2 penye bab keracunan pada mbg tsb.",2026-09-12T10:20:55Z,2026-09-12T10:20:55Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
21,Ugy8RWxzBOamVHhUO6F4AaABAg,WjNRWr4lJqk,Siapa yang setuju mbg di hentikan🫗,siapa yang setuju mbg di hentikan🫗,2026-09-12T01:49:40Z,2026-09-12T01:49:40Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,positive
22,UgxQy5zFueuo-l_Ct2N4AaABAg,WjNRWr4lJqk,Raja😮,raja😮,2026-09-11T17:57:52Z,2026-09-11T17:57:52Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
23,Ugwwe9_84MVcer7XdmB4AaABAg,WjNRWr4lJqk,Ada ada saja Indonesia,ada ada saja indonesia,2026-09-11T12:24:11Z,2026-09-11T12:24:11Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
24,UgzW8zrfsfGMqfBFRV54AaABAg,WjNRWr4lJqk,"KITA TUNTUT AJA BGN....
Rp. 100 T Rupiah....
RAKYAT HARUS KOMPAK",kita tuntut aja bgn.. rp. 100 t rupiah.. rakyat harus kompak,2026-09-11T09:26:23Z,2026-09-11T09:26:23Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
25,Ugx49XZ1IjG-ktTPTsF4AaABAg,WjNRWr4lJqk,"Sennang klian melihat itu kan iblis?dan berhasil racun praktek klian itu binatang?masak bisnis racun klian buat, itupun untk generasi bangsa pula itu?selidiki si pengolah ini bpk² masyarakat?ini bisnis baru sperti korona dulu?ttpi lbh sadis racunnya yg ini?","sennang klian melihat itu kan iblis?dan berhasil racun praktek klian itu binatang?masak bisnis racun klian buat, itupun untk generasi bangsa pula itu?selidiki si pengolah ini bpk² masyarakat?ini bisnis baru sperti korona dulu?ttpi lbh sadis racunnya yg ini?",2026-09-11T02:35:34Z,2026-09-11T02:35:34Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
26,UgwVfUDwn-d-HFFqYC14AaABAg,WjNRWr4lJqk,"#mbg
#prabowosubianto
#dpr",mbg prabowosubianto dpr,2026-09-10T16:32:41Z,2026-09-10T16:32:41Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
27,Ugzmw8U8WIOmbPh23gJ4AaABAg,WjNRWr4lJqk,Disaat pemerintah negara lain mengutamakan pendidikan rezim konoha malah Meracuni generasinya 😢,disaat pemerintah negara lain mengutamakan pendidikan rezim konoha malah meracuni generasinya 😢,2026-09-10T11:31:39Z,2026-09-10T11:31:39Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
28,Ugwd4aBOmxxROGPa7bF4AaABAg,WjNRWr4lJqk,Kenapa prabowo bilang sakit perut biasa,kenapa prabowo bilang sakit perut biasa,2026-09-10T09:43:11Z,2026-09-10T09:43:11Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
29,UgzuC3PqsAUIigjl0yp4AaABAg,WjNRWr4lJqk,Petugas  mbg  tolong ya makananya di komsumsi dengan baik untuk anak anak sekolah ya tolong di perbaiki menubgnya ya 😊😊😊😊😊 jangan sampai ada korban lagi ya ingat !!! 🙆🙆🙆🙅🙅🙅,petugas mbg tolong ya makananya di komsumsi dengan baik untuk anak anak sekolah ya tolong di perbaiki menubgnya ya 😊😊😊😊😊 jangan sampai ada korban lagi ya ingat !! 🙆🙆🙆🙅🙅🙅,2026-09-10T05:46:18Z,2026-09-10T05:46:18Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
30,UgziQXo4bKDwRU3CWaB4AaABAg,WjNRWr4lJqk,"(M)akan (B)eracun (G)ratis ☠️
Korban dari Pemimpin Keras Kepala",(m)akan (b)eracun (g)ratis ☠️ korban dari pemimpin keras kepala,2026-09-10T03:01:48Z,2026-09-10T03:01:48Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
31,Ugyd5eEAQakuJrxtNFh4AaABAg,WjNRWr4lJqk,Kasihan banget sampai keracunan semua😢,kasihan banget sampai keracunan semua😢,2026-09-09T23:34:34Z,2026-09-09T23:34:34Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
32,Ugz7oXRJqfwrDvQSO6J4AaABAg,WjNRWr4lJqk,Emang biadap,emang biadap,2026-09-09T13:12:10Z,2026-09-09T13:12:10Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
33,UgxeUYbz4haHGpcT9FR4AaABAg,WjNRWr4lJqk,Enga usa H makan mbg la gi woy😮,enga usa h makan mbg la gi woy😮,2026-09-09T13:01:22Z,2026-09-09T13:01:22Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
34,Ugx3kxq2mtERkRji44t4AaABAg,WjNRWr4lJqk,MBG membunuh genrus bangsa,mbg membunuh genrus bangsa,2026-09-09T08:46:55Z,2026-09-09T08:46:55Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,negative
35,UgzOrUV7-lpzfjwZ-994AaABAg,WjNRWr4lJqk,Astaghfillah   .,astaghfillah .,2026-09-09T05:23:51Z,2026-09-09T05:23:51Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
36,UgyYUeLBhGdgM9r-j7l4AaABAg,WjNRWr4lJqk,"Astagfirulloh.... Saya yang punya anak sekolah jadi ngeri kalo kejadian ini selalu terulang ulang,sampe anak di suruh ga makan mbg aja,, 
Semoga yang sudah terkena musibah,lekas di beri kesembuhan,selalu waspada kedepannya.","astagfirulloh.. saya yang punya anak sekolah jadi ngeri kalo kejadian ini selalu terulang ulang,sampe anak di suruh ga makan mbg aja,, semoga yang sudah terkena musibah,lekas di beri kesembuhan,selalu waspada kedepannya.",2026-09-08T23:40:43Z,2026-09-08T23:40:43Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
37,Ugy00Tf4FGWLmLlCOg54AaABAg,WjNRWr4lJqk,"Jangan berhentiin sementara, tapi selamanya aja","jangan berhentiin sementara, tapi selamanya aja",2026-09-08T19:37:58Z,2026-09-08T19:37:58Z,0,"Lagi, Keracunan Makanan Bergizi Gratis Hebohkan Indonesia! Kali Ini Bandung Barat Jadi Sorotan",UCeq1WeHIbMyeKp_sUNolgzA,Suaradotcom,2025-09-25T13:13:56Z,4700011,70115,20518,neutral
